"siren","siret","code_greffe","nom_greffe","numero_gestion","id_etablissement","status","origin","file_timestamp","date_greffe","libelle_evt","type","siege_pm","rcs_registre","adresse_ligne1","adresse_ligne2","adresse_ligne3","adress_new","adresse_new_clean_reg","possibilite","insee","digit_inpi","list_digit_inpi","len_digit_address_inpi","code_postal","ville","ncc","code_commune","pays","domiciliataire_nom","domiciliataire_siren","count_initial_inpi","domiciliataire_greffe","domiciliataire_complement","siege_domicile_representant","nom_commercial","enseigne","activite_ambulante","activite_saisonniere","activite_non_sedentaire","date_debut_activite","activite","origine_fonds","origine_fonds_info","type_exploitation","csv_source","index","origin_test","count_initial_insee","count_siren_siret","test_address_libelle","test_address_complement","test_join_address","test_date","test_1","test_siege","test_voie","test_numero","count_duplicates_final","count_duplicates_","test"
"811663244","81166324400010","5910","Lille Métropole","2015D00673","1","","Initial","2015-05-29 00:00:00.000","2015-05-29 00:00:00.000","Etablissement ouvert","SEP","","","50 rue Arago","","","50 RUE ARAGO  ","ARAGO$"," RUE","RUE","50","","1","59000","Lille","LILLE","59350","France","","","1","","","","","","non","non","","2015-03-26","Toutes activités se rattachant à l'acquisition, la gestion, la location, l'administration de tous biens et droits sociaux, activités de sociétés holding.","Création","","Exploitation directe","5910_S1_20170504_8_ets.csv","8027199","test_1_no_duplication","1","1.0","True","False","False","True","","True","True","True","1","1",""
"811663251","81166325100015","8305","Toulon","2015B00940","1","","Initial","2015-07-20 00:00:00.000","2015-07-20 00:00:00.000","Etablissement ouvert","SIE","","","15 Rue des Lauriers  Roses","","","15 RUE DES LAURIERS  ROSES  ","LAURIERS$|ROSES$"," RUE","RUE","15","","1","83150","Bandol","BANDOL","83009","FRANCE","","","2","","","","","","","","","","","","","","8305_S1_20170504_8_ets.csv","8027200","test_1_no_duplication","1","2.0","True","False","False","True","","True","True","True","1","1",""
"811663251","81166325100015","8305","Toulon","2015B00940","2","","Initial","2015-07-20 00:00:00.000","2015-07-20 00:00:00.000","Etablissement ouvert","PRI","","","15 Rue des Lauriers  Roses","","","15 RUE DES LAURIERS  ROSES  ","LAURIERS$|ROSES$"," RUE","RUE","15","","1","83150","Bandol","BANDOL","83009","FRANCE","","","2","","","","C-NET ","C-NET ","non","non","","2015-05-19","Nettoyage et entretien de tout type de bien mobilier ou immobilier .","Création","","Exploitation directe","8305_S1_20170504_8_ets.csv","8027201","test_1_no_duplication","1","2.0","True","False","False","True","","False","True","True","1","1",""
"811663327","81166332700013","3405","Montpellier","2015B01697","1","","Initial","2015-06-03 00:00:00.000","2015-06-03 00:00:00.000","Etablissement ouvert","SEP","","","","28 chemin Mas du Padre",""," 28 CHEMIN MAS DU PADRE ","MAS$|PADRE$"," CHEMIN","CHE","28","","1","34540","Balaruc-les-Bains","BALARUC LES BAINS","34023","FRANCE","","","1","","","","","","non","non","","2015-05-26","Vente et pose de menuiseries, bois, PVC, aluminium et tout ce qui concerne la fermeture de l'habitat.","Création","","Exploitation directe","3405_S1_20170504_8_ets.csv","8027202","test_1_no_duplication","1","1.0","True","False","False","True","","True","True","True","1","1",""
"811663376","81166337600010","2702","Evreux","2015B00455","1","","Initial","2017-03-20 00:00:00.000","2017-03-20 00:00:00.000","Etablissement ouvert","SIE","","","33 Rue Isambard","","","33 RUE ISAMBARD  ","ISAMBARD$"," RUE","RUE","33","","1","27530","Ézy-sur-Eure","EZY SUR EURE","27230","FRANCE","","","2","","","","","","","","","","","","","","2702_S1_20170504_8_ets.csv","8027203","test_1_no_duplication","1","2.0","True","False","False","True","","True","True","True","1","1",""
"811663376","81166337600010","2702","Evreux","2015B00455","2","","Initial","2017-03-20 00:00:00.000","2017-03-20 00:00:00.000","Etablissement ouvert","PRI","","","33 Rue Isambard","","","33 RUE ISAMBARD  ","ISAMBARD$"," RUE","RUE","33","","1","27530","Ézy-sur-Eure","EZY SUR EURE","27230","FRANCE","","","2","","","","","JEUX POPOTE","non","non","","2015-05-27","Restauration traditionnelle, restauration rapide sur place ou à emporter, livraison à domicile, salon de thé.","Création","","Exploitation directe","2702_S1_20170504_8_ets.csv","8027204","test_1_no_duplication","1","2.0","True","False","False","True","","False","True","True","1","1",""
"811663400","81166340000026","9201","Nanterre","2015B05690","1","","Initial","2016-04-19 00:00:00.000","2016-04-19 00:00:00.000","Etablissement ouvert","SIE","","","28 Rue Ernest Renan","","","28 RUE ERNEST RENAN  ","ERNEST$|RENAN$"," RUE","RUE","28","","1","92130","Issy-les-Moulineaux","ISSY LES MOULINEAUX","92040","FRANCE","","","2","","","","","","","","","","","","","","9201_S1_20170504_8_ets.csv","8027205","test_1_no_duplication","2","2.0","True","False","False","True","","True","True","True","1","1",""
"811663400","81166340000026","9201","Nanterre","2015B05690","2","","Initial","2016-04-19 00:00:00.000","2016-04-19 00:00:00.000","Etablissement ouvert","PRI","","","28 Rue Ernest Renan","","","28 RUE ERNEST RENAN  ","ERNEST$|RENAN$"," RUE","RUE","28","","1","92130","Issy-les-Moulineaux","ISSY LES MOULINEAUX","92040","FRANCE","","","2","","","","","","non","non","","2015-05-21","La prise de participation, par voie d'apport, d'achat, de souscription ou autrement, dans toutes sociétés, quelle qu'en soit la forme et l'objet ; toutes prestations de services et de conseil en matière administrative, comptable, financière, informatique, commerciale, de gestion ou autre.","Création","","Exploitation directe","9201_S1_20170504_8_ets.csv","8027206","test_1_no_duplication","2","2.0","True","False","False","True","","False","True","True","1","1",""
"811663434","81166343400017","2002","Bastia","2015B00305","1","","Initial","2016-11-29 00:00:00.000","2016-11-29 00:00:00.000","Etablissement ouvert","SEP","","","","Via Santa Laurina","Résidence la Vallée"," VIA SANTA LAURINA RESIDENCE LA VALLEE","VIA$|SANTA$|LAURINA$|VALLEE$"," RESIDENCE","RES","","","0","20270","Aléria","ALERIA","2B009","FRANCE","","","2","","","","BUREAU D'ETUDES STRUCTURES METALLIQUES","","non","non","","2015-05-11","Bureau d'études en bâtiment, ingénierie","Création","","Exploitation directe","2002_S1_20170504_8_ets.csv","8027207","test_1_no_duplication","1","","True","True","True","True","","True","False","False","1","1",""
"811663434","81166343400017","2002","Bastia","2015B00305","1","","EVT","2019-09-24 00:00:00.000","2019-09-25 08:51:48.000","Modifications relatives à un établissement","SEP","","","","Via Santa Laurina","Résidence la Vallée"," VIA SANTA LAURINA RESIDENCE LA VALLEE","VIA$|SANTA$|LAURINA$|VALLEE$"," RESIDENCE","RES","","","0","20270","Aléria","ALERIA","2B009","FRANCE","","","2","","","","(supprimé)","","non","non","","2015-05-11","Bureau d'études en bâtiment, ingénierie","Création","","Exploitation directe","2002_632_20190925_085148_9_ets_nouveau_modifie_EVT.csv","8027208","test_1_no_duplication","1","","True","True","True","True","","True","False","False","1","1",""
