"siren","code_greffe","nom_greffe","numero_gestion","id_etablissement","status","origin","file_timestamp","date_greffe","libelle_evt","type","siege_pm","rcs_registre","adresse_ligne1","adresse_ligne2","adresse_ligne3","code_postal","ville","code_commune","pays","domiciliataire_nom","domiciliataire_siren","domiciliataire_greffe","domiciliataire_complement","siege_domicile_representant","nom_commercial","enseigne","activite_ambulante","activite_saisonniere","activite_non_sedentaire","date_debut_activite","activite","origine_fonds","origine_fonds_info","type_exploitation","csv_source"
"840639892","9201","Nanterre","2018B05972","1","","NEW","2018-07-04 06:18:51.000","2018-06-27 00:00:00.000","Etablissement ouvert","SIE","","","163  DU DOCTEUR DERVAUX","","","92600","Asnières-sur-Seine","92004","FRANCE","ASNIERES DERVAUX  ","832482574","Bordeaux","2 Cours de l'Intendance     33000 Bordeaux","","","","","","","","","","","","9201_871_20180704_061851_8_ets.csv"
"354057606","3003","Nîmes","1999A00454","2","","Initial","2003-04-11 00:00:00.000","2003-04-11 00:00:00.000","Etablissement ouvert","PRI","","","","230 Rue Laennec","","30000","Nîmes","30189","France","","","","","","PHARMACIE CAREMEAU","PHARMACIE CAREMEAU","non","non","non","1999-04-01","OFFICINE DE PHARMACIE","Achat","ONDS ACQUIS PAR ACHAT AU PRIX STIPULE DE 2 800 000 FR -  - ","Exploitation directe","3003_S1_20170504_8_ets.csv"
"514468990","8305","Toulon","2016A00455","2","","Initial","2017-01-31 00:00:00.000","2017-01-31 00:00:00.000","Etablissement ouvert","PRI","","","2 Rue de l'Aube","","","83330","Le Castellet","83035","FRANCE","","","","","","MOALIC","","non","non","non","2016-03-01","Achat, revente de tout autre article relatif à l'équipement de la personne et de la maison, bazar, également sur éventaires et marchés","Création","","Exploitation directe","8305_S1_20170504_8_ets.csv"
"489503144","7802","Pontoise","2006D00363","2","","Initial","2016-03-23 00:00:00.000","2016-03-23 00:00:00.000","Etablissement ouvert","PRI","","","11 Rue PELLETIER","","","95360","Montmagny","95427","FRANCE","","","","","","","","non","non","non","2006-03-06","l acquisition la propriete l administration et l exploitation par bail toutes operations se rattachant directement ou indirectement a cet objet sans modifier le caractere civil de la societe","Création","","Exploitation directe","7802_S1_20170504_8_ets.csv"
"453068280","9201","Nanterre","2004B02217","1","","Initial","2010-03-31 00:00:00.000","2010-03-31 00:00:00.000","Etablissement ouvert","SIE","","","1 Place PAUL VERLAINE","","","92100","Boulogne-Billancourt","92012","FRANCE","S.D.M. 92","382332302","Nanterre"," 1 PCE PAUL VERLAINE  92100 BOULOGNE","","","","","","","","","","","","9201_S1_20170504_8_ets.csv"
"804901981","7501","Paris","2014B21449","2","","Partiel","2019-05-06 00:00:00.000","2019-02-14 00:00:00.000","Etablissement ouvert","PRI","","","6 rue Falguière","","","75015","Paris","75115","France","","","","","","","","non","non","non","2014-10-07","Boulangerie, pâtisserie, confiserie","Achat"," - récédent propriétair - ANSARD  - Vincen","Exploitation directe","7501_S2_20190506_8_ets.csv"
"844585851","4901","Angers","2018B01861","1","","NEW","2018-12-29 09:03:54.000","2018-12-11 00:00:00.000","Etablissement ouvert","SEP","","","","29 rue des Rêveries","","49100","Angers","49007","FRANCE","","","","","","","","non","non","non","2018-12-11","La participation directe ou indirecte de la société dans le capital de toutes sociétés ; La gestion de placements financiers ; Et, généralement, toutes opérations quelconques pouvant se rattacher directement ou indirectement à l'objet social pourvu qu'elles ne modifient pas le caractère civil de la Société.","Création","","Exploitation directe","4901_462_20181229_090354_8_ets.csv"
"490756764","3701","Tours","2006B00688","1","","Initial","2013-07-29 00:00:00.000","2013-07-29 00:00:00.000","Etablissement ouvert","SEP","","","4 rue de la Charpraie","","","37170","Chambray-Les-Tours","37050","France","","","","","","","","non","non","non","2006-06-26","LA PRISE DE PARTICIPATIONS FINANCIERES SOUS TOUTES SES FORMES AU CAPITAL DE TOUTES SOCIETES FRANCAISES OU ETRAGERES COTEES OU NON COTEES EN BOURSE, CONSEIL ET ASSISTANCE EN MATIERE ADMINISTRATIVE ET FINANCIERE, INGENIERIE COMMERCIALE AINSI QUE TOUTES PRESTATIONS DE SERVICES DESTINEES A FACILITER LE DEVELOPPEMENT DES ENTREPRISES, LOCATION DE BUREAUX ET PRESTATIONS DE SERVICES.","Création","","Exploitation directe","3701_S1_20170504_8_ets.csv"
"832083695","3102","Toulouse","2017D01599","1","","NEW","2017-09-20 08:59:04.000","2017-09-19 00:00:00.000","Etablissement ouvert","SIE","","","","Chemin du Moulin","","31130","Balma","31044","France","","","","","","","","","","","","","","","","3102_93_20170920_085904_8_ets.csv"
"429631773","602","Cannes","2019A00238","2","","NEW","2019-04-24 09:29:50.000","2019-04-19 00:00:00.000","Etablissement ouvert","PRI","","","24 Avenue des Coteaux"," le Bocage Olivier 3","","06400","Cannes","06029","FRANCE","","","","","","","","non","non","non","2019-04-15","Agencement de lieux de vente, homme toutes mains, vente d'emplacement publicitaire et conseil, brocante sur marché.","Création","","Exploitation directe","0602_976_20190424_092950_8_ets.csv"
